2023-09-18 10:56:47 592:  ABC5678 => 並非無車牌
2023-09-18 10:56:47 593:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:47 593:  ABC5678 => 通道 : 2
2023-09-18 10:56:47 593:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:47 605:  ABC5678匹配到進場紀錄
2023-09-18 10:56:47 676:  ABC5678 = openFlag =>　False
2023-09-18 10:56:47 677:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:47 693:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:47_2_出口_b78ed090eaaa44c398951ffe5bb64d7f_1__8011_False_/Images/Licences/2023918/fdf78ee0a9134e2fb6f3c09e0d265bf720230918105656.jpg_1_4892974923087663920_2023091810564769288
2023-09-18 10:56:47 694:  Return:ABC5678_No
2023-09-18 10:56:48 419:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:48 467:  ABC5678,计费处理
2023-09-18 10:56:48 467:  ABC5678 => RecognizeType = 4
2023-09-18 10:56:48 467:  Return:ABC5678_No
2023-09-18 10:56:56 128:  Camera:192.168.1.101_ABC5678
2023-09-18 10:56:56 176:  ABC5678,计费处理
2023-09-18 10:56:56 177:  ABC5678 => RecognizeType = 8
2023-09-18 10:56:56 177:  ABC5678 => 並非無車牌
2023-09-18 10:56:56 177:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:56:56 177:  ABC5678 => 通道 : 2
2023-09-18 10:56:56 178:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:56:56 183:  ABC5678匹配到進場紀錄
2023-09-18 10:56:56 209:  ABC5678 = openFlag =>　False
2023-09-18 10:56:56 209:  ABC5678 = deviceInfo[12] =>　1
2023-09-18 10:56:56 219:  发送内容:出口相机_192.168.1.194_888_ABC5678_40_1_2_2023/9/18 上午 10:55:07_2023/9/18 上午 10:56:56_2_出口_47d5422798f348e6b696da4ac3c4e68a_1__8011_False_/Images/Licences/2023918/5c5eddb39ad34ce885634d8e9ea4dc8d20230918105615.jpg_1_4892974923087663920_2023091810565621851
2023-09-18 10:56:56 219:  Return:ABC5678_No
2023-09-18 10:57:04 834:  Camera:192.168.1.101_ABC5678
2023-09-18 10:57:04 880:  ABC5678,计费处理
2023-09-18 10:57:04 881:  ABC5678 => RecognizeType = 8
2023-09-18 10:57:04 881:  ABC5678 => 並非無車牌
2023-09-18 10:57:04 881:  ABC5678 => 序號 : 912257b6-7b2536bd
2023-09-18 10:57:04 881:  ABC5678 => 通道 : 2
2023-09-18 10:57:04 881:  ABC5678 => RecognizeType4 暫存車牌 : [None]
2023-09-18 10:57:04 888:  ABC5678匹配到進場紀錄
2023-09-18 10:57:04 928:  ABC5678 = openFlag =>　False
2023-09-18 10:57:04 928:  ABC5678 = deviceInfo[12] =>　1
